Enroll_Academic_Period,Institution_Name,Gender,Nationality,Total Students
2016-2017 : Spring,Al Khawarizmi International College,Female,National,41
2016-2017 : Spring,Al Khawarizmi International College,Female,Non-National,50
2017-2018 : Fall,Al Khawarizmi International College,Female,National,1
2017-2018 : Fall,Al Khawarizmi International College,Female,Non-National,143
2017-2018 : Spring,Al Khawarizmi International College,Female,Non-National,55
2018-2019 : Fall,Al Khawarizmi International College,Female,National,77
2018-2019 : Fall,Al Khawarizmi International College,Female,Non-National,98
2018-2019 : Spring,Al Khawarizmi International College,Female,Non-National,62
2019-2020 : Fall,Al Khawarizmi International College,Female,National,62
2020-2021 : Fall,Al Khawarizmi International College,Female,National,42
2020-2021 : Fall,Al Khawarizmi International College,Female,Non-National,129
